SpotPrice,LongCall,ShortCall,LongPut,ProtectivePut
186,-10.1603,10.1603,20.0997,-10.1603
187,-10.1603,10.1603,19.0997,-10.1603
188,-10.1603,10.1603,18.0997,-10.1603
189,-10.1603,10.1603,17.0997,-10.1603
190,-10.1603,10.1603,16.0997,-10.1603
191,-10.1603,10.1603,15.0997,-10.1603
192,-10.1603,10.1603,14.0997,-10.1603
193,-10.1603,10.1603,13.0997,-10.1603
194,-10.1603,10.1603,12.0997,-10.1603
195,-10.1603,10.1603,11.0997,-10.1603
196,-10.1603,10.1603,10.0997,-10.1603
197,-10.1603,10.1603,9.0997,-10.1603
198,-10.1603,10.1603,8.0997,-10.1603
199,-10.1603,10.1603,7.0997,-10.1603
200,-10.1603,10.1603,6.0997,-10.1603
201,-10.1603,10.1603,5.0997,-10.1603
202,-10.1603,10.1603,4.0997,-10.1603
203,-10.1603,10.1603,3.0997,-10.1603
204,-10.1603,10.1603,2.0997,-10.1603
205,-10.1603,10.1603,1.0997,-10.1603
206,-10.1603,10.1603,0.0996988,-10.1603
207,-10.1603,10.1603,-0.900301,-10.1603
208,-10.1603,10.1603,-1.9003,-10.1603
209,-10.1603,10.1603,-2.9003,-10.1603
210,-10.1603,10.1603,-3.9003,-10.1603
211,-10.1603,10.1603,-4.9003,-10.1603
212,-10.1603,10.1603,-5.9003,-10.1603
213,-10.1603,10.1603,-6.9003,-10.1603
214,-10.1603,10.1603,-7.9003,-10.1603
215,-10.1603,10.1603,-8.9003,-10.1603
216,-10.1603,10.1603,-9.9003,-10.1603
217,-9.4203,9.4203,-10.1603,-9.4203
218,-8.4203,8.4203,-10.1603,-8.4203
219,-7.4203,7.4203,-10.1603,-7.4203
220,-6.4203,6.4203,-10.1603,-6.4203
221,-5.4203,5.4203,-10.1603,-5.4203
222,-4.4203,4.4203,-10.1603,-4.4203
223,-3.4203,3.4203,-10.1603,-3.4203
224,-2.4203,2.4203,-10.1603,-2.4203
225,-1.4203,1.4203,-10.1603,-1.4203
226,-0.420301,0.420301,-10.1603,-0.420301
227,0.579699,-0.579699,-10.1603,0.579699
228,1.5797,-1.5797,-10.1603,1.5797
229,2.5797,-2.5797,-10.1603,2.5797
230,3.5797,-3.5797,-10.1603,3.5797
231,4.5797,-4.5797,-10.1603,4.5797
232,5.5797,-5.5797,-10.1603,5.5797
233,6.5797,-6.5797,-10.1603,6.5797
234,7.5797,-7.5797,-10.1603,7.5797
235,8.5797,-8.5797,-10.1603,8.5797
236,9.5797,-9.5797,-10.1603,9.5797
237,10.5797,-10.5797,-10.1603,10.5797
238,11.5797,-11.5797,-10.1603,11.5797
239,12.5797,-12.5797,-10.1603,12.5797
240,13.5797,-13.5797,-10.1603,13.5797
241,14.5797,-14.5797,-10.1603,14.5797
242,15.5797,-15.5797,-10.1603,15.5797
243,16.5797,-16.5797,-10.1603,16.5797
244,17.5797,-17.5797,-10.1603,17.5797
245,18.5797,-18.5797,-10.1603,18.5797
246,19.5797,-19.5797,-10.1603,19.5797
